task_name,task_description,label,text
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"The voting bill known as H.R. 1 ""would force states to adopt universal mail-in ballots.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud ¡°is the greatest source of voter fraud in this state.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"¡°Melania dug up the WH Rose Garden, removing roses from every First Lady since 1913.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"Says Doug Jones ""has voted to spend our tax dollars on late-term abortions"" and ""supports abortion up until birth."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,¡°Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,Georgia¡¯s share of money from the Federal Highway Trust Fund declined 12 percent between 2008 and 2013.
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,Says ¡°Democratic Mayors in some of Wisconsin's largest cities closed voting locations in April to cause chaos.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"Says ""most"" NC legislators are in the ""high risk age group"" for coronavirus"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"Society is ¡°choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"""There are no federal or state laws that say prosecutors must seek death sentences. And the United States Supreme Court has banned all state laws that make executions mandatory for murders."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,Says Jerry Nadler said ¡°God has no authority in the House of Representatives¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"¡°The poor are, ironically, the most likely to be employed in the industries deemed ¡®essential¡¯ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"¡°Tylenol is the #1 cause of acute liver failure in the US with 27% of people dying & kills at least 100,000 per year from its use.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,Blood ¡°starts to clot in a minute or two¡± after a Pfizer COVID-19 vaccine injection.
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"""On average, one person dies by suicide every 22 hours in West Virginia."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,¡°Military ready to act on audit results!¡± in Arizona
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"Eating grapefruit, ¡°if you're on antidepressants,¡± can ¡°cause a fatal overdose.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,Says Joe Biden has ¡°allowed males to compete in girls¡¯ sports.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,¡°Breaking: John Fetterman RESIGNATION Announcement.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,An optional microchip for COVID-19 vaccines ¡°would give officials information on who has and has not been vaccinated¡± and ¡°tracks the location of the patient.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"Social Security ""was basically invented"" at the University of Wisconsin-Madison; ""that's where Franklin Roosevelt got the idea."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"Ilana Shafran Mandel¡¯s stake in Forest City Enterprises ""constitutes significantly less than 1 percent"" of the company¡¯s shares and any implication of a conflict of interest ""is legally incorrect."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,¡°Murders this year have spiked 27% in Philadelphia.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"¡°In one of the states that determined the outcome¡± of the 2016 presidential race, ¡°the winning margin averaged out to just two votes per precinct, two votes.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"""Texas actually leads in the number of (Confederate) monuments removed."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,Video footage from Georgia shows suitcases filled with ballots pulled from under a table and illegally counted after election observers were told to leave.
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"The economy is ""creating jobs at the fastest pace since 1999."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"Says China ""stole Coronavirus from Canada and weaponized it into a Bioweapon."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"""Ninety six percent of employers in the Granite State are considered small businesses."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"¡°If I mail in my ballot on Sunday and show up to the polling station on Tuesday, they won¡¯t know if I¡¯ve already voted or not. That, my friends, is a serious concern for all of us.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"¡°I represent more, or just as many or more, people than Joe Manchin does.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"As a youth, ¡°I got arrested¡± protesting for civil rights."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"¡°This virus has a cure. It is called hydroxychloroquine, zinc, and Zithromax. I know you people want to talk about a mask. Hello? You don¡¯t need (a) mask. There is a cure.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,¡°High-ranking Ukrainian officials caught splurging on luxury real estate in Switzerland.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"An adenovirus is a combination of viruses, gastrointestinal virus, pneumonia and COVID-19 mixed together to ¡°kill our children.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,Says H.R. 1 ¡°allows minors to vote.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,Opposition to having a fully elected Chicago Board of Education is in the ¡°super minority.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"""I'm the only governor in America ... who signed a law that says there needs to be an independent investigation any time there's a death of someone in police custody."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"Says immigrants wanted by ICE have victimized ""tens of thousands of children"" in North Carolina."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"""Florida is now the only state in the nation to tax commercial leases."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"¡°Traditionally, the Speaker says: ¡®Members of Congress, I have the high privilege and distinct honor of presenting to you the President of the United States.¡¯ (Tonight) Speaker Pelosi said, ¡®Members of Congress, the President of the United States.¡¯ """
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"Despite what Donald Trump claims, ""there weren¡¯t 15,000 people who turned out in Phoenix"" to see Trump speak."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"¡°El congreso acaba de aprobar un reciente proyecto de ley para todos los que tengan m¨¢s de $10,000 de deuda¡±."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,¡°There is racism physically built into some of our highways.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"The World Economic Forum hired ¡°unvaccinated pilots¡± to fly people into Davos, Switzerland, for its annual meeting for safety reasons."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"President Joe Biden said, ¡°I know you all know there¡¯s no climate problem,¡± proving that people have been ¡°lying for decades¡± about climate change."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"The federal government is prohibited ""from negotiating lower prescription drug prices for our senior citizens."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"""Almost half of every dollar that we spend on gas, it goes to New York State."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"Says Leah Vukmir ""claimed the open records law didn't apply to her, got sued, lost and cost taxpayers $15,000 in legal fees."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,¡°Overdose deaths in WV are up 45% from the prior year.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,Texas ¡°could be very close to herd immunity.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"Says Joe Biden is on video ""admitting to"" election fraud in a ""confession."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"""More than a million Californians"" do not have ""clean water to bathe in or drink."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"Says Mike Huckabee appeared in diabetes infomercials to endorse ""cures and treatments that no health agency supports."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,¡°We all know China created COVID.¡±
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"California Gov. Gavin Newsom ¡°just let 76,000 inmates out of jail."""
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",1,"¡°The majority of hunters now want universal background checks, the majority of Trump voters.¡±"
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"West Coast wildfires are due to ¡°bad forest maintenance,¡± not climate change."
fake_news,"fake news detection: determine whether a news article contains fabricated, misleading, or unverifiable information presented as factual content",0,"""We've had two members engage in a Democrat-led persecution of ordinary citizens who engaged in legitimate political discourse.¡±"
